,species,toes,date,sex,svl,tl,rtl_orig,mass,paint.mark,location,meters,newRecap,painted,misc,vial,year,rtl,autotomized,new.recap_orig,sighting,review_sex,review_species,review_painted,review_new.recap,review_rtl,forceMale,forceFemale,forceRecap,forceNew,forceSighting,drop_species,drop_morphometrics,tl_svl,mass_svl,lizMark,count,lizardNumber,lizNumber,dateMin,svlMin,yearMin,yearDiff,svlDiff,misclassified
5927,j,1-10-15-20,2001-07-12,f,65.0,80.0,9.0,7.8,r24a,R wall 3m v H3,174,,,,,2001.0,9.0,True,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,False,1.2307692307692308,0.12,j1-10-15-20f,8.0,3.0,,,,,,,
5886,j,1-10-11-18,2001-07-11,m,71.0,97.0,0.0,11.3,w19a,S curve,280,recap,,,B shed recently; Tss,2001.0,0.0,False,recap,,True,False,False,False,False,True,False,False,False,False,False,False,1.3661971830985915,0.1591549295774648,j1-10-11-18m,8.0,5.0,,,,,,,
6317,j,4-10-11-20,2002-07-14,f,57.0,82.0,0.0,5.5,b54t,lower right chute,350,recap,"b ss, t shed",,,2002.0,0.0,False,recap,,True,False,True,False,False,False,False,False,False,False,False,False,1.4385964912280702,0.09649122807017543,j4-10-11-20f,8.0,6.0,,,,,,,
246,j,4-6-12-20,2000-06-23,m,79.0,77.0,1.0,17.0,o10a,sb halfway between 1 fall and cave trail,,,,,,2000.0,1.0,True,,,True,False,False,True,False,True,False,False,False,False,False,False,0.9746835443037974,0.21518987341772156,j4-6-12-20m,8.0,8.0,,,,,,,
6376,j,4-9-12-20,2002-07-17,m,68.0,60.0,41.0,12.0,b61c,sb 5m ^ oak R,423,recap,"b shed, t ss",,,2002.0,41.0,True,recap,,True,False,True,False,False,False,False,False,False,False,False,False,0.8823529411764706,0.17647058823529413,j4-9-12-20m,7.0,9.0,,,,,,,
6741,j,3-8-13-18,2004-07-06,f,66.0,65.0,34.0,9.2,wRt,sb 2m^ cave trail,47,new,painted,b ss very few mites,04 46,2004.0,34.0,True,new,,True,False,False,False,False,False,False,False,False,False,False,False,0.9848484848484848,0.13939393939393938,j3-8-13-18f,7.0,10.0,,,,,,,
210,j,4-6-15-20,2000-07-02,m,64.0,90.0,0.0,9.0,w36a,opp 2 triple R,,,,,,2000.0,0.0,False,,,True,False,False,True,False,False,False,False,False,False,False,False,1.40625,0.140625,j4-6-15-20m,7.0,11.0,,,,,,,
192,j,1-9-12-16,2000-06-24,m,62.0,89.0,0.0,8.9,o14a,3m v rt rock outcrop opp pine rock,,,,,,2000.0,0.0,False,,,True,False,False,True,False,True,False,False,False,False,False,False,1.435483870967742,0.1435483870967742,j1-9-12-16m,7.0,12.0,,,,,,,
320,j,1-9-14-16,2000-07-07,m,34.0,43.0,0.0,2.5,w^b,Rs opp oak R,,,,,,2000.0,0.0,False,,,True,False,False,True,False,False,False,False,False,False,False,False,1.2647058823529411,0.07352941176470587,j1-9-14-16m,7.0,13.0,,,,,,,
112,j,8-15-19,2000-06-23,m,68.0,93.0,0.0,10.7,o8a,R above chute ,,,,,,2000.0,0.0,False,,,True,False,False,True,False,False,False,False,False,False,False,False,1.3676470588235294,0.15735294117647058,j8-15-19m,7.0,14.0,,,,,,,
64,j,5-7-13-18,2000-07-03,f,72.0,51.0,0.0,12.5,r34cw41t,1 triple R ,,,,,,2000.0,0.0,False,,,True,False,False,True,False,False,True,False,False,False,False,False,0.7083333333333334,0.1736111111111111,j5-7-13-18f,6.0,16.0,,,,,,,
39,j,5-6-13-20,2000-07-07,f,71.0,91.0,0.0,13.5,r21cw||t,Rs opp oak R,,,,,,2000.0,0.0,False,,,True,False,False,True,False,False,False,False,False,False,False,False,1.2816901408450705,0.19014084507042253,j5-6-13-20f,6.0,17.0,,,,,,,
7806,j,8-14-19,2013-07-05,m,71.0,103.0,0.0,12.3,o33c,opp 2nd 3R,335,new,yes,Tss,13-26,2013.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.4507042253521127,0.17323943661971833,j8-14-19m,6.0,19.0,,,,,,,
6604,j,2-9-11-19,2003-07-18,f,36.0,51.0,0.0,1.8,oTb,15m v top of site,440,new,painted,,toes 03-93,2003.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.4166666666666667,0.05,j2-9-11-19f,6.0,20.0,,,,,,,
