,autotomized,date,location,mass,meters,misc,new.recap,paint.mark,painted,rtl,sex,sighting,species,svl,tl,toes,vial,year,tl_svl,mass_svl,age_class,myDrop,dropReason
0,FALSE,2000-03-17T00:00:00Z,1falls,4.2,,NA,new,r1c,NA,0.0,f,NA,j,52.0,74.0,1-13-19,NA,2000,1.4230769230769231,0.08076923076923077,juvenile,,
1,FALSE,2000-03-17T00:00:00Z,1falls,5.6,,NA,new,r2c,NA,0.0,m,NA,j,56.0,77.0,1-13-20,NA,2000,1.375,0.09999999999999999,adult,,
2,FALSE,2000-03-17T00:00:00Z,wall on rt side v wall at pine xing,6.6,,NA,new,r3c,NA,0.0,f,NA,j,57.0,81.0,1-14-19,NA,2000,1.4210526315789473,0.11578947368421053,adult,,
3,FALSE,2000-03-17T00:00:00Z,wall on rt side v wall at pine xing,5.5,,NA,new,r4c,NA,0.0,f,NA,j,57.0,79.0,1-14-20,NA,2000,1.3859649122807018,0.09649122807017543,adult,,
4,TRUE,2000-03-17T00:00:00Z,oak across from bottom wall at pine xing,17.0,,shed since last recapture,recap,r5c,NA,27.0,f,NA,j,82.0,89.0,3-8,NA,2000,1.0853658536585367,0.2073170731707317,adult,,
5,TRUE,2000-03-17T00:00:00Z,sb half way up from bottom wall to pine xing,5.5,,NA,new,r6c,NA,24.0,m,NA,j,58.0,64.0,1-15-16,NA,2000,1.103448275862069,0.09482758620689655,adult,,
6,TRUE,2000-03-17T00:00:00Z,sb 3/4 way up from bottom wall to pine xing,7.0,,NA,new,r7c,NA,20.0,f,NA,j,58.0,62.0,1-18,NA,2000,1.0689655172413792,0.1206896551724138,adult,,
7,FALSE,2000-03-17T00:00:00Z,sb at pine xing,5.5,,shed since last recapture,recap,r8c,NA,0.0,f,NA,j,54.0,75.0,1-13-18,NA,2000,1.3888888888888888,0.10185185185185185,juvenile,,
8,FALSE,2000-03-17T00:00:00Z,sb 10m ^ root xing,7.5,,NA,new,r9c,NA,0.0,m,NA,j,62.0,84.0,1-19,NA,2000,1.3548387096774193,0.12096774193548387,adult,,
9,FALSE,2000-03-17T00:00:00Z,sb at H3,8.0,,NA,new,r10c,NA,0.0,f,NA,j,60.0,80.0,1-20,NA,2000,1.3333333333333333,0.13333333333333333,adult,,
10,FALSE,2000-03-17T00:00:00Z,1falls,15.6,,shed since last recapture,recap,r11c,NA,0.0,f,NA,j,74.0,97.0,3-14-17,NA,2000,1.3108108108108107,0.2108108108108108,adult,,
11,FALSE,2000-03-17T00:00:00Z,R wall on rt v cave trail,7.5,,NA,new,r12c,NA,0.0,f,NA,j,60.0,79.0,9-11-19,NA,2000,1.3166666666666667,0.125,adult,,
12,FALSE,2000-03-17T00:00:00Z,stump opp wall v bottom wall at pine xing,7.6,,NA,new,r13c,NA,0.0,m,NA,j,62.0,87.0,9-11-20,NA,2000,1.403225806451613,0.12258064516129032,adult,,
13,TRUE,2000-03-17T00:00:00Z,sb half way up from bottom wall to pine xing,8.4,,shed since last recapture,recap,r14c,NA,18.0,f,NA,j,65.0,86.0,5-7-15-20,NA,2000,1.323076923076923,0.12923076923076923,adult,,
