,autotomized,date,drop_morphometrics,drop_species,forceFemale,forceMale,forceNew,forceRecap,forceSighting,location,mass,meters,misc,new.recap,new.recap_orig,paint.mark,painted,review_new.recap,review_painted,review_rtl,review_sex,review_species,rtl,rtl_orig,sex,sighting,species,svl,tl,toes,vial,year
0,FALSE,2000-03-17T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1falls,4.2,NA,NA,new,new,r1c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,52,74,1-13-19,NA,2000
1,FALSE,2000-03-17T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1falls,5.6,NA,NA,new,new,r2c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,m,NA,j,56,77,1-13-20,NA,2000
2,FALSE,2000-03-17T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,wall on rt side v wall at pine xing,6.6,NA,NA,new,new,r3c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,57,81,1-14-19,NA,2000
3,FALSE,2000-03-17T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,wall on rt side v wall at pine xing,5.5,NA,NA,new,new,r4c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,57,79,1-14-20,NA,2000
4,TRUE,2000-03-17T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,oak across from bottom wall at pine xing,17,NA,shed since last recapture,recap,recap,r5c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,27,27,f,NA,j,82,89,3-8,NA,2000
5,TRUE,2000-03-17T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,sb half way up from bottom wall to pine xing,5.5,NA,NA,new,new,r6c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,24,24,m,NA,j,58,64,1-15-16,NA,2000
6,TRUE,2000-03-17T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,sb 3/4 way up from bottom wall to pine xing,7,NA,NA,new,new,r7c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,20,20,f,NA,j,58,62,1-18,NA,2000
7,FALSE,2000-03-17T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,sb at pine xing,5.5,NA,shed since last recapture,recap,recap,r8c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,54,75,1-13-18,NA,2000
8,FALSE,2000-03-17T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,sb 10m ^ root xing,7.5,NA,NA,new,new,r9c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,m,NA,j,62,84,1-19,NA,2000
9,FALSE,2000-03-17T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,sb at H3,8,NA,NA,new,new,r10c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,60,80,1-20,NA,2000
10,FALSE,2000-03-17T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1falls,15.6,NA,shed since last recapture,recap,recap,r11c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,74,97,3-14-17,NA,2000
11,FALSE,2000-03-17T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,R wall on rt v cave trail,7.5,NA,NA,new,new,r12c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,60,79,9-11-19,NA,2000
