,autotomized,date,location,mass,meters,misc,new.recap,paint.mark,painted,rtl,sex,sighting,species,svl,tl,toes,vial,year,tl_svl,mass_svl,age_class,myDrop,dropReason
890,FALSE,2002-07-14T00:00:00Z,halfway up to site,10.0,-200.0,NA,new,b101t,NA,0.0,m,NA,j,63.0,92.0,3-7-11-19,toes in vial 58-02,2002,1.4603174603174602,0.15873015873015872,adult,True,meters
891,FALSE,2002-07-14T00:00:00Z,left downstream 100m v 1 falls,10.8,-100.0,NA,new,b102t,NA,0.0,m,NA,j,66.0,92.0,3-7-11-18,toes in vial 59-02,2002,1.393939393939394,0.16363636363636364,adult,True,meters
892,FALSE,2002-07-14T00:00:00Z,90m v 1 falls,10.3,-90.0,NA,new,b103t,NA,0.0,m,NA,j,68.0,103.0,3-7-12-16,toes in vial 60-02,2002,1.5147058823529411,0.15147058823529413,adult,True,meters
1723,FALSE,2002-03-20T00:00:00Z,rt slope half way btwn 1&2tripleRs (below R outcrop at top),70.0,320.0,NA,new,y77a,NA,0.0,m,NA,j,61.0,86.0,4-10-14-20,toes in vial 32-02,2002,1.4098360655737705,1.1475409836065573,adult,True,svl;mass
6154,FALSE,2012-05-25T00:00:00Z,on oak 6m left side bowl,3.5,,NA,new,w3b,yes,0.0,m,NA,v,79.0,63.0,7-11-18,12-12,2012,0.7974683544303798,0.04430379746835443,adult,True,svl;species
6215,TRUE,2013-07-03T00:00:00Z,5m v bottom site,10.0,-55.0,NA,recap,o1c,yes,21.0,f,NA,j,69.0,53.0,5-11-15,NA,2013,0.7681159420289855,0.14492753623188406,adult,True,meters
6292,TRUE,2013-07-15T00:00:00Z,left side sb -65,5.6,-65.0,NA,recap,o.a,yes,20.0,f,NA,v,56.0,54.0,2-6-18,NA,2013,0.9642857142857143,0.09999999999999999,adult,True,meters
6305,TRUE,2014-07-05T00:00:00Z,in-the-sb--55,14.5,-55.0,TSS;BSS,recap,o29c,yes,30.0,f,NA,j,74.0,67.0,5-11-16,NA,2014,0.9054054054054054,0.19594594594594594,adult,True,meters
6306,FALSE,2014-07-07T00:00:00Z,rt sb -55,4.8,-55.0,B rec shed; Tss,new,o32a,yes,0.0,m,NA,v,52.0,72.0,4-7-11,14-46,2014,1.3846153846153846,0.0923076923076923,adult,True,meters
7287,FALSE,2016-05-14T00:00:00Z,left Rs opp oakR,28.0,,NA,new,y32b,yes,0.0,m,NA,v,45.0,57.0,3-6-15-17,16-50,2016,1.2666666666666666,0.6222222222222222,adult,True,svl;mass
7345,TRUE,2016-05-13T00:00:00Z,left bigRpile 15m^ 2falls,55.2,,"tail angle at 10; toes 13, 19 broken; wound scars all over ventrum (photo)",recap,y28b,yes,0.0,m,NA,v,54.0,63.0,4-9-14-15-18,NA,2016,1.1666666666666667,1.0222222222222224,adult,True,svl;mass
