,species,toes,date,sex,svl,tl,rtl_orig,mass,paint.mark,location,meters,new.recap,painted,misc,vial,year,rtl,autotomized,new.recap_orig,sighting,review_sex,review_species,review_painted,review_new.recap,review_rtl,forceMale,forceFemale,forceRecap,forceNew,forceSighting,drop_species,drop_morphometrics,tl_svl,mass_svl
95,j,4-6-15-20,2000-03-24,m,,,,,r49c,Rs opp 2tripleR,,,,,nan,2000.0,,autotomized,,,True,False,False,True,False,False,False,False,False,False,False,True,,
103,j,1-9-13-18,2000-03-25,,,,,,r8c,juniper xing [note: in 00 pine xing = juniper xing],,,,,nan,2000.0,,autotomized,,,True,False,False,True,False,False,False,False,False,False,False,True,,
104,j,1-9-13-19,2000-03-25,,,,,,r18c,sb at slab,,,,,nan,2000.0,,autotomized,,,True,False,False,True,False,False,False,False,False,False,False,True,,
184,j,2-5-16,2000-07-07,m,,,,,o17a,pineR,,,,,nan,2000.0,,autotomized,,,True,False,False,True,False,False,False,False,False,False,False,True,,
222,j,,2001-03-18,,,,,,w35a,slab,262,,,,w35a - not shed since last time marked,2001.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
236,j,,2001-03-19,,,,,,w^a,,,,,,nan,2001.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
237,j,,2001-03-19,,,,,,w^b,,,,,,nan,2001.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
238,j,,2001-03-19,,,,,,w..a,,,,,,nan,2001.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
239,j,,2001-03-19,,,,,,w=a,,,,,,nan,2001.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
240,j,,2001-03-19,,,,,,w|c,,,,,,nan,2001.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
241,j,,2001-03-19,,,,,,w.c,,,,,,nan,2001.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
242,j,,2001-03-19,,,,,,w|a,,,,,,nan,2001.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
243,j,,2001-03-19,,,,,,w+a,,,,,,nan,2001.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
244,j,,2001-03-19,,,,,,w=c,,,,,,nan,2001.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
253,j,,2001-03-19,,,,,,w^a,sb 10m v top o site,445,,,,nan,2001.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
255,j,,2001-03-19,,,,,,w++b,pyramid R,373,,,,nan,2001.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
258,j,,2001-03-19,,,,,,w+b,L opp 2tripleR,335,,,,wOa and w+b displaying to one another,2001.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
261,j,,2001-03-19,,,,,,w=c,CC/CCC,240,,,,nan,2001.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
262,j,1-13-20,2001-03-19,,,,,,w46c,1falls,1,,,,unshed since last summer; toes based on paint mark; did not capture,2001.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
276,j,,2001-03-20,,,,,,w..b,r wall on left v tree and cave trail,20,,,,nan,2001.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
277,j,,2001-03-20,,,,,,w..c,r wall v r wall v juniper xing,85,,,,nan,2001.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
278,j,,2001-03-20,,,,,,w|b,r wall v r wall v juniper xing,85,,,,nan,2001.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
279,j,,2001-03-20,,,,,,w.b,r wall v juniper xing,113,,,,nan,2001.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
280,j,,2001-03-20,,,,,,w-c,r wall v juniper xing,113,,,,nan,2001.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
281,j,,2001-03-20,,,,,,w:a,r wall v juniper xing,113,,,,nan,2001.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
282,j,,2001-03-20,,,,,,w-a,r wall v juniper xing,113,,,,nan,2001.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
283,j,,2001-03-20,,,,,,wOb,slab,262,,,,nan,2001.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
284,j,,2001-03-20,,,,,,w+a,slab,262,,,,nan,2001.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
