,species,toes,date,sex,svl,tl,rtl_orig,mass,paint.mark,location,meters,newRecap,painted,misc,vial,year,rtl,autotomized,new.recap_orig,sighting,review_sex,review_species,review_painted,review_new.recap,review_rtl,forceMale,forceFemale,forceRecap,forceNew,forceSighting,drop_species,drop_morphometrics,tl_svl,mass_svl,lizMark,count,lizardNumber,lizNumber,dateMin,svlMin,yearMin,yearDiff,svlDiff,misclassified
6414,j,1-10-14-18,2004-07-05,f,80.0,112.0,0.0,15.0,wRa,rocks opp pine rock,408,recap,painted,b and t ss; some mites,,2004.0,0.0,False,recap,,True,False,False,False,False,False,False,False,False,False,False,False,1.4,0.1875,j1-10-14-18f,3.0,267.0,,,,,,,
6969,j,1-10-14-18,2005-07-04,m,83.0,113.0,0.0,18.0,w22t,R outcrop lft side 4m v pineR,404,recap,painted,w164b still visible; not shed since 04; Bshedding; T shed rec; lots of mites [photos],,2005.0,0.0,False,recap,,True,False,False,False,False,False,False,False,False,False,False,False,1.3614457831325302,0.21686746987951808,j1-10-14-18m,1.0,738.0,,,,,,,
7557,j,1-12-20,2009-07-19,f,79.0,90.0,-1.0,15.0,y46a,opp oakR,418,recap,painted,Btrec shed,,2009.0,0.0,True,recap,,True,False,False,False,False,False,False,False,False,False,False,False,1.139240506329114,0.18987341772151897,j1-12-20f,1.0,688.0,,,,,,,
7558,j,1-12-20,2009-07-27,m,83.0,114.0,0.0,20.3,yxc,wall v talus,,recap,painted,,,2009.0,0.0,False,recap,,True,False,False,False,False,False,False,False,False,False,False,False,1.3734939759036144,0.24457831325301205,j1-12-20m,1.0,751.0,,,,,,,
7324,j,1-12-20 a,2008-07-06,m,69.0,98.0,0.0,10.5,y35a,1tripleR,305,new,painted,,08-18,2008.0,0.0,False,n,,True,False,False,False,False,False,False,False,False,False,False,False,1.420289855072464,0.15217391304347827,j1-12-20 am,1.0,1295.0,,,,,,,
7325,j,1-12-20 a,2008-07-08,f,72.0,100.0,0.0,12.8,y40a,sb 5m ^ oakR,423,new,painted,B&T shed rec; bite (?) wound lower left dorsum just anterior to LH limb; no corresponding wound on ventrum; photo taken,08-25,2008.0,0.0,False,n,,True,False,False,False,False,False,False,False,False,False,False,False,1.3888888888888888,0.17777777777777778,j1-12-20 af,1.0,1529.0,,,,,,,
334,j,1-13-16,2000-07-09,f,65.0,55.0,21.0,9.0,w^^c,H4,,,,,,2000.0,21.0,True,,,True,False,False,True,False,False,False,False,False,False,False,False,0.8461538461538461,0.13846153846153847,j1-13-16f,1.0,1133.0,,,,,,,
7548,j,1-13-16,2009-07-13,m,86.0,114.0,0.0,24.2,y5a,left wall opp rt curved wall v cave trail,19,recap,painted,,,2009.0,0.0,False,recap,,True,False,False,False,False,False,False,False,False,False,False,False,1.3255813953488371,0.2813953488372093,j1-13-16m,2.0,472.0,,,,,,,
6026,j,1-14-17,2001-07-19,f,78.0,98.0,0.0,15.4,r66a,1falls,1,recap,,,,2001.0,0.0,False,recap,,True,False,False,False,False,False,False,False,False,False,False,False,1.2564102564102564,0.19743589743589746,j1-14-17f,1.0,1378.0,,,,,,,
7582,j,1-14-17,2010-06-20,m,88.0,86.0,38.0,19.5,y7c,downstream side of cave trail,45,recap,yes,,,2010.0,38.0,True,recap,,True,False,False,False,False,False,False,False,False,False,False,False,0.9772727272727272,0.2215909090909091,j1-14-17m,2.0,393.0,,,,,,,
13,j,1-14-20,2000-07-09,f,61.0,86.0,0.0,8.2,r4cw||t,bottom wall v juniper xing,,,,,,2000.0,0.0,False,,,True,False,False,True,False,False,False,False,False,False,False,False,1.4098360655737705,0.13442622950819672,j1-14-20f,2.0,414.0,,,,,,,
7413,j,1-14-20,2008-07-11,m,73.0,55.0,34.0,12.7,y41a,wall at juniper xing,115,recap,painted,Btshedding; loose scales,08-26,2008.0,34.0,True,r,,True,False,False,True,False,False,False,True,False,False,False,False,0.7534246575342466,0.17397260273972598,j1-14-20m,1.0,691.0,,,,,,,
21,j,1-19,2000-06-23,m,70.0,95.0,0.0,12.0,o4a,R pile opp H 4,,,,,,2000.0,0.0,False,,,True,False,False,True,False,False,False,False,False,False,False,False,1.3571428571428572,0.17142857142857146,j1-19m,2.0,466.0,,,,,,,
6266,j,1-19,2002-07-05,f,28.0,33.0,0.0,0.7,b.b,5m ^ slab on left side,267,new,painted; juvenile,,toes in vial 45-02,2002.0,0.0,False,new,,True,False,True,False,False,False,False,False,False,False,False,False,1.1785714285714286,0.025,j1-19f,1.0,698.0,,,,,,,
279,j,1-9-13-16,2000-06-27,m,34.0,41.0,0.0,,w:c,sb at juniper xing,,,,,,2000.0,0.0,False,,,True,False,False,True,False,True,False,False,False,False,False,False,1.2058823529411764,,j1-9-13-16m,1.0,1068.0,,,,,,,
52,j,1-9-13-16,2001-07-11,f,77.0,73.0,33.0,13.6,w4a,wall @ H4/5,201,recap,,,w|c still visible; remarked as w4a; T just shed B ss + soon to shed,2001.0,33.0,True,recap,,True,False,False,False,False,False,True,False,False,False,False,False,0.9480519480519479,0.17662337662337665,j1-9-13-16f,5.0,41.0,,,,,,,
287,j,1-9-13-20,2000-07-02,f,36.0,48.0,0.0,1.5,w|c,3m ^ juniper xing,,,,,,2000.0,0.0,False,,,True,False,False,True,False,False,False,False,False,False,False,False,1.3333333333333333,0.04166666666666666,j1-9-13-20f,1.0,992.0,,,,,,,
5899,j,1-9-13-20,2001-07-11,m,77.0,104.0,0.0,17.6,w^|c,R 3m v lizard R,130,recap,,,shed since,2001.0,0.0,False,recap,,True,False,False,False,False,True,False,False,False,False,False,False,1.3506493506493509,0.2285714285714286,j1-9-13-20m,2.0,434.0,,,,,,,
5946,j,1-9-14-20,2001-07-11,m,36.0,50.0,0.0,1.8,w8a,3m v chute,352,new,,,toes in vial 01-36,2001.0,0.0,False,new,,True,False,False,False,False,True,False,False,False,False,False,False,1.3888888888888888,0.05,j1-9-14-20m,3.0,218.0,,,,,,,
