year,Treatment,paintmark,TRTmin,Species,sex,SVL,TL,RTL,RemTL,RemMass,propRemTL,Treatment2,TRTminLog
2007,1.0,wI1b,0.17,sj,F,76.0,105.0,0,0.0,0.0,0.0,Intact,-1.7719568419318752
2007,1.0,wJ14b,0.32,sj,M,91.0,116.0,0,0.0,0.0,0.0,Intact,-1.1394342831883648
2007,1.0,wK2b,0.13,sj,M,79.0,108.0,0,0.0,0.0,0.0,Intact,-2.0402208285265546
2007,1.0,wK4b,0.13,sj,F,79.0,100.0,0,0.0,0.0,0.0,Intact,-2.0402208285265546
2007,1.0,wL3b,0.21,sj,F,83.0,110.0,0,0.0,0.0,0.0,Intact,-1.5606477482646683
2007,1.0,yA1b,0.15,sj,F,69.0,95.0,0,0.0,0.0,0.0,Intact,-1.8971199848858813
2007,2.0,yA6b,0.36,sj,M,88.0,120.0,0,60.0,,0.5,50%,-1.0216512475319814
2007,1.0,yA7b,0.29,sj,F,71.0,95.0,0,0.0,0.0,0.0,Intact,-1.2378743560016174
2007,1.0,yB3b,0.21,sj,M,90.0,123.0,0,0.0,0.0,0.0,Intact,-1.5606477482646683
2007,1.0,yC1b,0.31,sj,M,85.0,108.0,0,0.0,0.0,0.0,Intact,-1.171182981502945
2007,1.0,yG3b,0.15,sj,F,74.0,102.0,0,0.0,0.0,0.0,Intact,-1.8971199848858813
2007,1.0,yG5b,0.24,sj,M,90.0,128.0,0,0.0,0.0,0.0,Intact,-1.4271163556401458
2008,1.0,1f,0.15,sv,F,48.0,60.0,0,0.0,0.0,0.0,Intact,-1.8971199848858813
2008,1.0,2f,0.19,sv,F,49.0,67.0,0,0.0,0.0,0.0,Intact,-1.6607312068216509
2008,1.0,B5,0.17,sv,F,56.0,65.0,0,0.0,0.0,0.0,Intact,-1.7719568419318752
2008,1.0,C1,0.11,sv,F,62.0,63.0,0,0.0,0.0,0.0,Intact,-2.2072749131897207
2010,1.0,p5b,0.22,sv,F,61.0,75.0,0,0.0,0.0,0.0,Intact,-1.5141277326297755
2012,1.0,,0.07,sv,F,51.0,63.0,0,0.0,0.0,0.0,Intact,-2.659260036932778
2012,1.0,,0.17,sv,M,51.0,68.0,0,0.0,0.0,0.0,Intact,-1.7719568419318752
2012,1.0,,0.24,sv,M,54.0,62.0,0,0.0,0.0,0.0,Intact,-1.4271163556401458
2012,1.0,,0.25,sv,F,64.0,74.0,0,0.0,0.0,0.0,Intact,-1.3862943611198906
2012,1.0,,0.25,sv,M,54.0,71.0,0,0.0,0.0,0.0,Intact,-1.3862943611198906
2012,1.0,,0.27,sv,M,51.0,64.0,0,0.0,0.0,0.0,Intact,-1.3093333199837622
2012,1.0,,0.28,sv,M,54.0,73.0,0,0.0,0.0,0.0,Intact,-1.2729656758128873
2012,1.0,,0.43,sv,F,56.0,74.0,0,0.0,0.0,0.0,Intact,-0.843970070294529
2007,2.0,wJ3b,0.42,sj,M,86.0,118.0,0,60.0,0.369,0.5084745762711864,50%,-0.8675005677047231
2007,2.0,wL2b,0.21,sj,F,76.0,100.0,0,50.0,0.174,0.5,50%,-1.5606477482646683
2007,2.0,wL5b,0.14,sj,F,77.0,98.0,0,50.0,0.184,0.5102040816326531,50%,-1.9661128563728327
2007,2.0,yA2b,0.21,sj,F,74.0,95.0,0,47.5,,0.5,50%,-1.5606477482646683
2007,2.0,yB1b,0.2,sj,M,86.0,126.0,0,63.0,,0.5,50%,-1.6094379124341003
2007,2.0,yB2b,0.2,sj,F,82.0,108.0,0,54.0,,0.5,50%,-1.6094379124341003
2007,2.0,yC4b,0.23,sj,F,81.0,110.0,0,57.0,0.35200000000000004,0.5181818181818182,50%,-1.4696759700589417
2007,2.0,yD2b.t,0.13,sj,M,75.0,112.0,0,56.0,0.171,0.5,50%,-2.0402208285265546
2007,2.0,yE4b,0.29,sj,M,89.0,124.0,0,68.0,0.38,0.5483870967741935,50%,-1.2378743560016174
2012,2.0,,0.14,sv,M,56.0,75.0,0,39.0,0.0543,0.52,50%,-1.9661128563728327
2012,2.0,,0.18,sv,F,62.0,75.0,0,40.0,0.0675,0.5333333333333333,50%,-1.7147984280919266
2012,2.0,,0.19,sv,M,49.0,63.0,0,33.0,,0.5238095238095238,50%,-1.6607312068216509
2012,2.0,,0.2,sv,M,50.0,66.0,0,41.0,,0.6212121212121212,50%,-1.6094379124341003
2012,2.0,,0.26,sv,M,66.0,82.0,0,44.0,0.0665,0.5365853658536586,50%,-1.3470736479666092
2012,2.0,,0.28,sv,F,65.0,78.0,0,41.0,0.0574,0.5256410256410257,50%,-1.2729656758128873
2012,2.0,,0.29,sv,F,46.0,66.0,0,33.0,0.0396,0.5,50%,-1.2378743560016174
2012,2.0,,0.3,sv,M,49.0,67.0,0,38.0,0.0431,0.5671641791044776,50%,-1.2039728043259361
2012,2.0,,0.4,sv,F,53.0,63.0,0,35.0,0.0432,0.5555555555555556,50%,-0.916290731874155
2011,3.0,y21b,0.24,sj,F,78.0,103.0,0,27.0,0.0346,0.2621359223300971,25%,-1.4271163556401458
2011,3.0,y9b,0.15,sj,M,81.0,104.0,0,24.0,0.0352,0.23076923076923078,25%,-1.8971199848858813
2012,3.0,w38c,0.3,sv,M,55.0,75.0,0,19.0,0.01,0.25333333333333335,25%,-1.2039728043259361
2012,3.0,,0.09,sv,M,50.0,68.0,0,18.0,0.0095,0.2647058823529412,25%,-2.4079456086518722
2012,3.0,,0.15,sv,M,50.0,64.0,0,17.0,,0.265625,25%,-1.8971199848858813
2012,3.0,,0.16,sv,M,54.0,71.0,0,18.0,0.0098,0.2535211267605634,25%,-1.8325814637483102
2012,3.0,,0.19,sv,M,50.0,66.0,0,18.0,0.008,0.2727272727272727,25%,-1.6607312068216509
2012,3.0,,0.23,sv,M,54.0,68.0,0,16.0,0.0072,0.23529411764705882,25%,-1.4696759700589417
2012,3.0,,0.24,sv,M,54.0,68.0,0,20.0,0.0125,0.29411764705882354,25%,-1.4271163556401458
2012,3.0,,0.24,sv,F,59.0,70.0,0,18.0,0.009000000000000001,0.2571428571428571,25%,-1.4271163556401458
2012,3.0,,0.37,sv,M,58.0,75.0,0,22.0,0.0151,0.29333333333333333,25%,-0.9942522733438669
